date;permco;ret;vol
2002-02-15;7.0;-0.02845531515777111;4701887.0
2002-02-19;7.0;-0.05355643481016159;7134452.0
2002-02-20;7.0;0.02254634350538254;5180596.0
2002-02-21;7.0;-0.07047121226787567;8159572.0
2002-02-22;7.0;0.05767440795898438;7312056.0
2002-02-25;7.0;0.04705363884568214;7719399.0
2002-02-26;7.0;-0.005879857111722231;4698048.0
2002-02-27;7.0;-0.07224338501691818;18500376.0
2002-02-28;7.0;-0.01183963287621737;8231281.0
2002-03-01;7.0;0.08064515888690948;6344864.0
2002-03-04;7.0;0.03582090139389038;6377349.0
2002-03-05;7.0;-0.03128860518336296;5054615.0
2002-03-06;7.0;0.02294938266277313;4114045.0
2002-03-07;7.0;0.01287908013910055;4676598.0
2002-03-08;7.0;0.01148485206067562;4957093.0
2002-03-11;7.0;0.0162205845117569;4748947.0
2002-03-12;7.0;-0.01356744486838579;4691373.0
2002-03-13;7.0;-0.009304189123213291;3661878.0
2002-03-14;7.0;-0.002449957886710763;3966587.0
2002-03-15;7.0;0.02128532342612743;4557622.0
2002-03-18;7.0;-0.008416873402893543;5195736.0
2002-03-19;7.0;0.004446265753358603;4376086.0
2002-03-20;7.0;0.002816888969391584;5351487.0
2002-03-21;7.0;-0.0260834526270628;11116645.0
2002-03-22;7.0;-0.007416576147079468;3668817.0
2002-03-25;7.0;-0.03071813099086285;4750395.0
2002-03-26;7.0;0.004710865207016468;4647743.0
2002-03-27;7.0;0.0004262672446202487;2333059.0
2002-03-28;7.0;0.00852154940366745;1925219.0
2002-04-01;7.0;0.03337553888559341;3610620.0
2002-04-02;7.0;-0.01594437472522259;3703740.0
2002-04-03;7.0;-0.01329454500228167;3888085.0
2002-04-04;7.0;0.04842103645205498;6097131.0
2002-04-05;7.0;-0.006425696890801191;5004614.0
2002-04-08;7.0;-0.007275679148733616;4792331.0
2002-04-09;7.0;-0.01872960478067398;3506456.0
2002-04-10;7.0;0.02323649264872074;4093257.0
2002-04-11;7.0;0.008110331371426582;7458995.0
2002-04-12;7.0;0.008045005612075329;5764088.0
2002-04-15;7.0;-0.002394232433289289;5382965.0
2002-04-16;7.0;0.02959999069571495;11124375.0
2002-04-17;7.0;0.01437454670667648;7166740.0
2002-04-18;7.0;-0.02680967934429646;7231949.0
2002-04-19;7.0;-0.01692248322069645;7084034.0
2002-04-22;7.0;-0.01801436580717564;5098221.0
2002-04-23;7.0;-0.01141462195664644;4266624.0
